textid	anger	disgust	fear	joy	sad	surprise
1	0.0873495	0.0532341	0.158073	0.279533	0.191793	0.230018
2	0.0877509	0.0536459	0.158574	0.277811	0.192034	0.230184
3	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
4	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
5	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
6	0.0876685	0.0533393	0.158441	0.27866	0.192063	0.229828
7	0.0877938	0.0533907	0.158598	0.278501	0.19198	0.229737
8	0.0876825	0.053388	0.158742	0.277989	0.192291	0.229906
9	0.0878269	0.0533425	0.158584	0.278238	0.19201	0.229998
10	0.0878051	0.0538622	0.158824	0.277754	0.191843	0.229911
11	0.0877122	0.0533622	0.158501	0.27869	0.191947	0.229788
12	0.0876055	0.0532805	0.158466	0.279424	0.191435	0.229789
13	0.0877289	0.0533492	0.158613	0.278329	0.192056	0.229924
14	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
15	0.0879564	0.0536279	0.15835	0.278297	0.191969	0.2298
16	0.0879311	0.0534474	0.158652	0.278209	0.192158	0.229603
17	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
18	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
19	0.0877221	0.0533292	0.15852	0.278493	0.191939	0.229997
20	0.0878217	0.0533518	0.158657	0.278227	0.192149	0.229794
21	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
22	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
23	0.0877485	0.0534094	0.158271	0.278462	0.192066	0.230042
24	0.0878326	0.0533105	0.158654	0.278291	0.192225	0.229688
25	0.0878029	0.0532565	0.158241	0.278153	0.191777	0.230769
26	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
27	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
28	0.0874949	0.053326	0.158112	0.27958	0.191641	0.229846
29	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
30	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
31	0.0876635	0.0533455	0.15863	0.278993	0.191347	0.230021
32	0.0876593	0.0533337	0.158414	0.27898	0.191856	0.229757
33	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
34	0.0876822	0.053322	0.158396	0.27869	0.192018	0.229892
35	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
36	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
37	0.0877162	0.0533374	0.158444	0.279168	0.191769	0.229566
38	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
39	0.0877758	0.0533971	0.15848	0.278889	0.191679	0.229779
40	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
41	0.0878632	0.0534682	0.158516	0.278531	0.191859	0.229763
42	0.0876089	0.0533135	0.158349	0.278681	0.192095	0.229952
43	0.0877938	0.0533907	0.158598	0.278501	0.19198	0.229737
44	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
45	0.0877783	0.0534446	0.158274	0.278724	0.191892	0.229888
46	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
47	0.0876102	0.0533002	0.158317	0.279326	0.191723	0.229724
48	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
49	0.088057	0.0533674	0.158402	0.278722	0.191781	0.229671
50	0.0877938	0.0533907	0.158598	0.278501	0.19198	0.229737
51	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
52	0.0875785	0.0532831	0.158157	0.279608	0.191556	0.229817
53	0.0875918	0.0532719	0.158365	0.27911	0.191898	0.229763
54	0.087303	0.053959	0.157487	0.278138	0.190866	0.232247
55	0.0874261	0.053237	0.158104	0.279355	0.191385	0.230493
56	0.0877681	0.0533613	0.158556	0.278385	0.192297	0.229633
57	0.0878344	0.0534177	0.158357	0.278078	0.192231	0.230082
58	0.0877388	0.0535097	0.158463	0.278643	0.191935	0.229711
59	0.0877719	0.0533753	0.158564	0.278564	0.191922	0.229802
60	0.0877938	0.0533907	0.158598	0.278501	0.19198	0.229737
61	0.0877384	0.0534323	0.158584	0.278604	0.191942	0.229699
62	0.0880054	0.0536193	0.158252	0.278454	0.191955	0.229715
63	0.0877436	0.0533676	0.158819	0.278175	0.192306	0.229588
64	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
65	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
66	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
67	0.0878312	0.0533886	0.158675	0.2785	0.191963	0.229642
68	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
69	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
70	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
71	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
72	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
73	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
74	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
75	0.0875743	0.0532671	0.158427	0.278885	0.192111	0.229736
76	0.0878294	0.0533413	0.158614	0.278215	0.192327	0.229673
77	0.0877429	0.0533904	0.15841	0.278472	0.191975	0.23001
78	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
79	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
80	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
81	0.087706	0.0533632	0.158505	0.278717	0.191979	0.229729
82	0.0877293	0.0534241	0.158527	0.27871	0.191834	0.229776
83	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
84	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
85	0.0876576	0.0533389	0.158653	0.278473	0.192195	0.229682
86	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
87	0.0877439	0.0533583	0.158942	0.278299	0.191857	0.2298
88	0.0887152	0.0537349	0.159084	0.277199	0.192328	0.228939
89	0.0875527	0.053286	0.15804	0.279199	0.19172	0.230203
90	0.0873587	0.0531636	0.158185	0.279553	0.191865	0.229874
91	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
92	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
93	0.0887152	0.0537349	0.159084	0.277199	0.192328	0.228939
94	0.087765	0.0533711	0.158855	0.278418	0.191955	0.229636
95	0.0877162	0.0534425	0.158291	0.278523	0.192121	0.229906
96	0.0877461	0.0535906	0.158514	0.278813	0.191722	0.229614
97	0.0876981	0.0533573	0.158484	0.278723	0.191941	0.229797
98	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
99	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
100	0.0876805	0.0533716	0.158566	0.278577	0.191896	0.229909
101	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
102	0.0874946	0.0533233	0.158365	0.278984	0.192016	0.229817
103	0.087639	0.053288	0.158358	0.278985	0.191889	0.22984
104	0.0879948	0.0534132	0.15857	0.278244	0.192166	0.229612
105	0.0875693	0.0536118	0.158218	0.278661	0.191662	0.230278
106	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
107	0.0877648	0.0534513	0.158759	0.277974	0.192444	0.229606
108	0.0876678	0.0534922	0.158293	0.278249	0.192435	0.229864
109	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
110	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
111	0.0880438	0.0534589	0.158638	0.277925	0.191874	0.230061
112	0.08769	0.0533545	0.158474	0.278742	0.191937	0.229802
113	0.0877568	0.0534478	0.158729	0.278104	0.192364	0.229598
114	0.0876638	0.053318	0.158426	0.278923	0.191546	0.230124
115	0.0878284	0.053411	0.158872	0.278122	0.192334	0.229433
116	0.088052	0.0536008	0.158856	0.278076	0.192318	0.229098
117	0.0877575	0.0533686	0.158532	0.278674	0.191901	0.229767
118	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
119	0.0876565	0.0535649	0.158116	0.278415	0.191711	0.230537
120	0.0878116	0.0532224	0.158386	0.279216	0.191494	0.22987
121	0.0878096	0.053417	0.15889	0.278212	0.192123	0.229549
122	0.087783	0.0533869	0.158585	0.278526	0.191976	0.229744
123	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
124	0.087606	0.053318	0.158364	0.279034	0.191872	0.229807
125	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
126	0.0876133	0.0534495	0.158514	0.278602	0.192032	0.229789
127	0.0879343	0.0534393	0.158766	0.278174	0.192037	0.229649
128	0.0878047	0.0533973	0.158296	0.278343	0.192152	0.230008
129	0.0878039	0.0533213	0.158759	0.278721	0.191365	0.23003
