textid	anger	disgust	fear	joy	sad	surprise
1	0.0484632	0.0321598	0.120951	0.276837	0.151403	0.370186
2	0.0770499	0.0444017	0.221144	0.28463	0.169467	0.203307
3	0.0755959	0.0489692	0.151972	0.315361	0.176791	0.23131
4	0.080659	0.0529883	0.175684	0.272992	0.196965	0.220713
5	0.0997814	0.0468048	0.139411	0.253779	0.240968	0.219256
6	0.0828885	0.052972	0.143193	0.290636	0.191998	0.238313
7	0.0906136	0.0592974	0.168613	0.26317	0.20188	0.216426
8	0.0805831	0.058953	0.146226	0.313866	0.185062	0.21531
9	0.0829436	0.0548393	0.151469	0.287161	0.186344	0.237243
10	0.0808621	0.0548106	0.170623	0.273586	0.191703	0.228415
11	0.116316	0.0421553	0.119695	0.210077	0.165933	0.345824
12	0.0828185	0.0566435	0.16681	0.254608	0.228966	0.210154
13	0.0895568	0.0520146	0.138319	0.249267	0.263689	0.207154
14	0.0805357	0.050606	0.141059	0.238878	0.278238	0.210684
15	0.0767873	0.0871534	0.146814	0.272354	0.172222	0.244669
16	0.0821431	0.0531539	0.144186	0.306313	0.178572	0.235632
17	0.0807799	0.0530925	0.126435	0.375073	0.154642	0.209977
18	0.0825088	0.0541361	0.146112	0.31225	0.179639	0.225354
19	0.0830433	0.0540794	0.166314	0.273898	0.199001	0.223664
20	0.0961123	0.071879	0.147732	0.264258	0.198716	0.221302
21	0.0908933	0.0613211	0.162286	0.265716	0.200626	0.219157
22	0.0475957	0.0323548	0.100637	0.363752	0.109285	0.346375
23	0.0840347	0.0538358	0.151814	0.279549	0.194986	0.23578
24	0.0913439	0.0574676	0.160191	0.264716	0.207521	0.21876
25	0.0819103	0.054045	0.15125	0.293091	0.186923	0.23278
26	0.0787051	0.0515915	0.182089	0.245056	0.199763	0.242795
27	0.0808999	0.0513366	0.175182	0.244335	0.231391	0.216856
28	0.0827296	0.0545653	0.146765	0.299329	0.186549	0.230062
29	0.094984	0.0692478	0.158174	0.211925	0.289254	0.176415
30	0.0872515	0.0555178	0.159232	0.278979	0.195599	0.22342
31	0.0923422	0.0655073	0.181884	0.222394	0.212299	0.225574
32	0.106018	0.0703047	0.170906	0.236274	0.222175	0.194323
33	0.0921045	0.0635103	0.17057	0.262364	0.203607	0.207845
34	0.128021	0.0991408	0.13714	0.24438	0.190581	0.200737
35	0.102725	0.0628275	0.174025	0.252934	0.201818	0.20567
36	0.140051	0.0771262	0.127196	0.227947	0.153644	0.274035
37	0.0803061	0.057425	0.143686	0.322208	0.176992	0.219383
38	0.0838575	0.0525759	0.152208	0.30895	0.19236	0.210048
39	0.0807847	0.0510761	0.161957	0.243565	0.243733	0.218884
40	0.080465	0.0562442	0.153075	0.271758	0.192898	0.24556
